Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
BPACW,,,
BPMC,,,
BPOP,,,
BPOPM,,,
BPRN,,,
BPT,,,
BPTH,,,
BPTS,,,
BPYPM,,,
BPYPN,,,
BPYPO,,,
BPYPP,6.0,9.0,6.0
BQ,,,
BR,1.0,9.0,1.0
BRAG,,,
BRBR,,,
BRBS,,,
BRC,,,
BRCC,,,
BRD,,,
BRDG,,,
BRDS,,,
BREA,,,
BREZ,,,
BREZR,,,
BRFH,,,
BRFS,,,
BRID,,,
BRK/A,,,
BRK/B,,,
BRKH,,,
BRKHW,,,
BRKL,,,
BRKR,,,
BRLI,,,
BRLIW,,,
BRLT,,,
BRMK,,,
BRN,,,
BRO,0.0,11.0,0.0
BROG,,,
BROGW,,,
BROS,,,
BRP,,,
BRQS,,,
BRSH,,,
BRSHW,,,
BRSP,,,
BRT,,,
BRTX,,,
BRW,,,
BRX,4.0,3.0,4.0
BRY,,,
BRZE,,,
BSAC,,,
BSAQ,,,
BSBK,,,
BSBR,,,
BSET,,,
BSFC,,,
BSGM,,,
BSIG,,,
BSL,,,
BSM,,,
BSQR,,,
BSRR,,,
BST,2.0,9.0,2.0
BSTZ,,,
BSVN,,,
BSX,3.0,13.0,3.0
BSX^A,,,
BSY,,,
BTA,,,
BTAI,,,
BTB,,,
BTBD,,,
BTBDW,,,
BTBT,,,
BTCM,,,
BTCS,,,
BTCY,,,
BTDR,,,
BTE,,,
BTG,,,
BTI,,,
BTMD,,,
BTMDW,,,
BTO,0.0,0.0,0.0
BTOG,,,
BTT,,,
BTTR,,,
BTTX,,,
BTU,,,
BTWN,,,
BTWNU,,,
BTWNW,,,
BTZ,,,
BUD,,,
BUI,,,
BUR,,,
BURL,,,
BURU,,,
BUSE,,,
BV,,,
BVH,,,
BVN,,,
BVS,,,
BVXV,,,
BW,,,
BW^A,,,
BWA,3.0,4.0,3.0
BWAC,,,
BWACW,,,
BWAQ,,,
BWAQW,,,
BWAY,,,
BWB,,,
BWBBP,,,
BWC,,,
BWCAW,,,
BWEN,,,
BWFG,,,
BWG,,,
BWMN,,,
BWMX,,,
BWNB,,,
BWSN,,,
BWV,,,
BWXT,,,
BX,3.0,10.0,3.0
BXC,,,
BXMT,,,
BXMX,4.0,10.0,4.0
BXP,3.0,5.0,3.0
BXRX,,,
BXSL,,,
BY,,,
BYD,,,
BYFC,,,
BYM,,,
BYN,,,
BYND,,,
BYNO,,,
BYNOU,,,
BYNOW,,,
BYRN,,,
BYSI,,,
BYTS,,,
BYTSW,,,
BZ,,,
BZFD,,,
BZFDW,,,
BZH,,,
BZUN,,,
C,2.0,13.0,2.0
C^J,,,
C^K,,,
C^N,,,
CAAP,,,
CAAS,,,
CABA,,,
CABO,,,
CAC,,,
CACC,,,
CACI,,,
CACO,,,
CADE,,,
CADE^A,,,
CADL,,,
CAE,,,
CAF,4.0,12.0,4.0
CAG,11.0,16.0,11.0
CAH,2.0,6.0,2.0
CAKE,,,
CAL,,,
CALB,,,
CALM,,,
CALT,,,
CALX,,,
CAMP,,,
CAMT,,,
CAN,,,
CANB,,,
CANF,,,
CANG,,,
CANO,,,
CAPL,,,
CAPR,,,
CAR,,,
CARA,,,
CARE,,,
CARG,,,
CARM,,,
CARR,,,
CARS,,,
CARV,,,
CASA,,,
CASH,,,
CASI,,,
CASS,,,
CASY,,,
CAT,7.0,19.0,7.0
CATC,,,
CATO,,,
CATX,,,
CATY,,,
CB,2.0,12.0,2.0
CBAN,,,
CBAT,,,
CBAY,,,
CBD,,,
CBFV,,,
CBH,,,
CBIO,,,
CBL,,,
CBNK,,,
