Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
EXC,9.0,9.0,9.0
EXG,4.0,10.0,4.0
EXP,22.0,9.0,22.0
EXPD,4.0,7.0,4.0
EXPE,2.0,14.0,2.0
EXR,4.0,4.0,4.0
F,9.0,11.0,9.0
FAST,11.0,9.0,11.0
FBIN,12.0,6.0,12.0
FCX,17.0,10.0,17.0
FDS,3.0,11.0,3.0
FDX,5.0,9.0,5.0
FE,13.0,10.0,13.0
FEN,0.0,0.0,0.0
FFA,3.0,10.0,3.0
FFC,2.0,10.0,2.0
FFIV,1.0,12.0,1.0
FIS,1.0,11.0,1.0
FISV,1.0,11.0,1.0
FITB,1.0,9.0,1.0
FL,2.0,7.0,2.0
FLC,2.0,11.0,2.0
FLEX,0.0,0.0,0.0
FLR,0.0,0.0,0.0
FLS,8.0,12.0,8.0
FLT,3.0,9.0,3.0
FMC,16.0,9.0,16.0
FNF,2.0,10.0,2.0
FNV,0.0,3.0,0.0
FOF,4.0,9.0,4.0
FPF,3.0,10.0,3.0
FPL,0.0,0.0,0.0
FRT,2.0,4.0,2.0
FTNT,1.0,12.0,1.0
FTS,14.0,8.0,14.0
FTV,16.0,14.0,16.0
FUND,7.0,7.0,7.0
GAB,5.0,9.0,5.0
GAM,4.0,9.0,4.0
GCV,0.0,0.0,0.0
GD,8.0,20.0,8.0
GDL,0.0,0.0,0.0
GDV,5.0,10.0,5.0
GE,14.0,15.0,14.0
GEN,1.0,9.0,1.0
GER,0.0,0.0,0.0
GF,4.0,7.0,4.0
GGG,9.0,14.0,9.0
GGT,2.0,9.0,2.0
GGZ,5.0,7.0,5.0
GIB,1.0,8.0,1.0
GIL,1.0,5.0,1.0
GILD,0.0,14.0,0.0
GIS,8.0,9.0,8.0
GL,2.0,8.0,2.0
GLO,3.0,8.0,3.0
GLPI,6.0,4.0,6.0
GLQ,3.0,8.0,3.0
GLU,8.0,9.0,8.0
GLV,3.0,8.0,3.0
GLW,7.0,5.0,7.0
GM,10.0,13.0,10.0
GNTX,6.0,10.0,6.0
GOLD,15.0,12.0,15.0
GOOGL,2.0,11.0,2.0
GPC,4.0,5.0,4.0
GPN,1.0,11.0,1.0
GPS,1.0,9.0,1.0
GRF,3.0,10.0,3.0
GRMN,5.0,8.0,5.0
GRX,4.0,10.0,4.0
GS,1.0,13.0,1.0
GT,0.0,0.0,0.0
GUT,10.0,8.0,10.0
GWW,3.0,5.0,3.0
H,14.0,11.0,14.0
HAL,9.0,9.0,9.0
HAS,0.0,3.0,0.0
HBAN,2.0,11.0,2.0
HBI,1.0,8.0,1.0
HCA,4.0,17.0,4.0
HD,3.0,6.0,3.0
HES,22.0,7.0,22.0
HIG,2.0,6.0,2.0
HLF,12.0,11.0,12.0
HLT,7.0,7.0,7.0
HOG,3.0,6.0,3.0
HOLX,5.0,13.0,5.0
HON,11.0,10.0,11.0
HP,0.0,0.0,0.0
HPE,1.0,5.0,1.0
HPF,8.0,10.0,8.0
HPI,8.0,10.0,8.0
HPQ,0.0,5.0,0.0
HPS,8.0,10.0,8.0
HQH,1.0,13.0,1.0
HQL,0.0,12.0,0.0
HRL,13.0,11.0,13.0
HSIC,2.0,6.0,2.0
HST,3.0,6.0,3.0
HSY,11.0,11.0,11.0
HTD,11.0,10.0,11.0
